SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
370194	    2	   1.4891	  1.00000000	1.00000000   0.150167
370195      2      1.4891         1.00000000    1.00000000   0.150167
370196      2      1.4891         1.00000000    1.00000000   0.150167
370197      2      1.4891         1.00000000    1.00000000   0.150167
370198      2      1.4891         1.00000000    1.00000000   0.150167
370199      2      1.4891         1.00000000    1.00000000   0.150167
370200	    2      0.6774779078   1.00000000    1.00000000   0.15876178
370201      2      0.6774779078   1.00000000    1.00000000   0.15876178
370202      2      0.6774779078   1.00000000    1.00000000   0.15876178
370203      2      0.6774779078   1.00000000    1.00000000   0.15876178
370204      2      0.6774779078   1.00000000    1.00000000   0.15876178
370205      2      0.3253876883   1.00000000    1.00000000   0.16758000
370206      2      0.3253876883   1.00000000    1.00000000   0.16758000
370207      2      0.3253876883   1.00000000    1.00000000   0.16758000
370208      2      0.3253876883   1.00000000    1.00000000   0.16758000
370209      2      0.3253876883   1.00000000    1.00000000   0.16758000
370210      2      0.1634905706   1.00000000    1.00000000   0.17640239
370211      2      0.1634905706   1.00000000    1.00000000   0.17640239
370212      2      0.1634905706   1.00000000    1.00000000   0.17640239
370213      2      0.1634905706   1.00000000    1.00000000   0.17640239
370214      2      0.1634905706   1.00000000    1.00000000   0.17640239
370215      2      0.0856417975   1.00000000    1.00000000   0.18481426
370216      2      0.0856417975   1.00000000    1.00000000   0.18481426
370217      2      0.0856417975   1.00000000    1.00000000   0.18481426
370218      2      0.0856417975   1.00000000    1.00000000   0.18481426
370219      2      0.0856417975   1.00000000    1.00000000   0.18481426
370220      2      0.0856417975   1.00000000    1.00000000   0.18481426
370221      2      0.0856417975   1.00000000    1.00000000   0.18481426
370222      2      0.0856417975   1.00000000    1.00000000   0.18481426
370223      2      0.0459823026   1.00000000    1.00000000   0.19822566
370224      2      0.0459823026   1.00000000    1.00000000   0.19822566
370225      2      0.0459823026   1.00000000    1.00000000   0.19822566
370226      2      0.0459823026   1.00000000    1.00000000   0.19822566
370227      2      0.0459823026   1.00000000    1.00000000   0.19822566
370228      2      0.0252601268   1.00000000    1.00000000   0.21096327
370229      2      0.0252601268   1.00000000    1.00000000   0.21096327
370230      2      0.0252601268   1.00000000    1.00000000   0.21096327
370231      2      0.0252601268   1.00000000    1.00000000   0.21096327
370232      2      0.0252601268   1.00000000    1.00000000   0.21096327
370233      2      0.0080897601   1.00000000    1.00000000   0.24437219
370234      2      0.0080897601   1.00000000    1.00000000   0.24437219
370235      2      0.0080897601   1.00000000    1.00000000   0.24437219
370236      2      0.0027583649   1.00000000    1.00000000   0.28245753
370237      2      0.0027583649   1.00000000    1.00000000   0.28245753
370238      2      0.0027583649   1.00000000    1.00000000   0.28245753
370240      2      0.0005919180   1.00000000    1.00000000   0.33932600
370243      2      0.0005919180   1.00000000    1.00000000   0.33932600
370244      2      0.0005919180   1.00000000    1.00000000   0.33932600
370245      2      0.0005919180   1.00000000    1.00000000   0.33932600
370246      2      0.0005919180   1.00000000    1.00000000   0.33932600
370247      2      0.0005919180   1.00000000    1.00000000   0.33932600
370248      2      0.0005919180   1.00000000    1.00000000   0.33932600
370249      2      0.0003593180   1.00000000    1.00000000   0.35962300
373421      2      0.0003593180   1.00000000    1.00000000   0.35962300
373422      2      0.0003593180   1.00000000    1.00000000   0.35962300
373423      2      0.0003593180   1.00000000    1.00000000   0.35962300
373424      2      0.0003593180   1.00000000    1.00000000   0.35962300
373425      2      0.0003593180   1.00000000    1.00000000   0.35962300
373426      2      0.0003593180   1.00000000    1.00000000   0.35962300
373427      2      0.0003593180   1.00000000    1.00000000   0.35962300
373428      2      0.0003593180   1.00000000    1.00000000   0.35962300
373430      2      0.0002190490   1.00000000    1.00000000   0.38524900
373433      2      0.0002190490   1.00000000    1.00000000   0.38524900
373435      2      0.0002190490   1.00000000    1.00000000   0.38524900
373436      2      0.0002190490   1.00000000    1.00000000   0.38524900
373437      2      0.0002190490   1.00000000    1.00000000   0.38524900
373438      2      0.0002190490   1.00000000    1.00000000   0.38524900
373440      2      0.0001339650   1.00000000    1.00000000   0.40794500
373441      2      0.0001339650   1.00000000    1.00000000   0.40794500
373443      2      0.0001339650   1.00000000    1.00000000   0.40794500
373445      2      0.0001339650   1.00000000    1.00000000   0.40794500
373446      2      0.0001339650   1.00000000    1.00000000   0.40794500
373447      2      0.0001339650   1.00000000    1.00000000   0.40794500
373448      2      0.0001339650   1.00000000    1.00000000   0.40794500
